Risk-Reward Ratio,Relationship between risk taken and potential gain.,,,,,,,
Inflation Risk,Risk that inflation erodes purchasing power of returns.,,,,,,,
Growth Stock,Stock expected to grow faster than the market.,,,,,,,
Value Stock,Undervalued stock believed to be a good investment.,,,,,,,
Day Trading,Buying and selling financial instruments within the same day.,,,,,,,
Swing Trading,Holding investments for several days or weeks to profit from swings.,,,,,,,
Buy and Hold,Long-term investment strategy.,,,,,,,
Asset Management,Managing investments on behalf of individuals or entities.,,,,,,,
Financial Advisor,A professional who gives investment and financial advice.,,,,,,,
ESG Investing,"Investing in companies based on environmental, social, and governance factors.",,,,,,,
Robo-Advisor,Automated platform offering financial planning with little human supervision.,,,,,,,
Tax-Loss Harvesting,Selling investments at a loss to offset capital gains tax.,,,,,,,
Yield,"Earnings from an investment, usually expressed as a percentage.",,,,,,,
P/E Ratio,Price-to-Earnings ratio; used to evaluate stock value.,,,,,,,
Margin Account,Account where investor borrows to buy securities.,,,,,,,
Short Selling,Betting that an asset’s price will decline.,,,,,,,
Volatility Index (VIX),A measure of market expectations for volatility.,,,,,,,
Asset Bubble,When asset prices inflate far beyond intrinsic value.,,,,,,,
Annuity,"A contract that pays out income over time, often for retirement.",,,,,,,
Credit,Borrowed money you can use to purchase items or services.,,,,,,,
Credit Score,A numerical value representing a person's creditworthiness.,,,,,,,
Credit Report,A summary of a person’s credit history and current debts.,,,,,,,
Credit Bureau,An agency that collects and maintains credit information.,,,,,,,
Credit Limit,The maximum amount of credit a lender will extend.,,,,,,,
Revolving Credit,Credit that automatically renews as debts are paid off.,,,,,,,
Installment Credit,"Credit repaid in fixed payments over time (e.g., loans).",,,,,,,
APR,Annual Percentage Rate; total yearly cost of borrowing.,,,,,,,
Interest Rate,The percentage charged for borrowing money.,,,,,,,
Grace Period,Time during which no interest is charged on credit balances.,,,,,,,
Debt,Money owed to a person or institution.,,,,,,,
Secured Loan,"A loan backed by collateral (e.g., car, house).",,,,,,,
Unsecured Loan,A loan not backed by collateral.,,,,,,,
Credit Card,A card that allows borrowing up to a credit limit.,,,,,,,
Charge Card,A card that requires full payment every month.,,,,,,,
Debt Consolidation,Combining multiple debts into one payment.,,,,,,,
Debt Snowball Method,Paying off smallest debts first for motivation.,,,,,,,
Debt Avalanche Method,Paying off highest-interest debts first.,,,,,,,
Credit Utilization,The ratio of credit used to total credit available.,,,,,,,
Late Payment,A payment made after the due date.,,,,,,,
Minimum Payment,The smallest amount due on a credit account.,,,,,,,
Credit Counseling,Professional advice to manage debt and credit.,,,,,,,
Debt Settlement,Negotiating to pay less than the full amount owed.,,,,,,,
Bankruptcy,Legal status when a person or business can’t repay debts.,,,,,,,
Collection Agency,A company that collects unpaid debts.,,,,,,,
Charge-Off,When a lender writes off debt as uncollectible.,,,,,,,
Default,Failure to repay a loan according to agreed terms.,,,,,,,
Foreclosure,Lender takes possession of property due to unpaid mortgage.,,,,,,,
Repossession,"Taking back an item (e.g., car) used as loan collateral.",,,,,,,
Collateral,An asset pledged to secure a loan.,,,,,,,
Loan Term,The duration over which a loan must be repaid.,,,,,,,
Principal,The original amount of money borrowed.,,,,,,,
Co-signer,A person who agrees to repay a loan if the borrower defaults.,,,,,,,
Credit Freeze,Restriction on access to a credit report.,,,,,,,
Hard Inquiry,A credit check that may affect your credit score.,,,,,,,
Soft Inquiry,A credit check that does not affect your score.,,,,,,,
Prepaid Card,"A card loaded with funds, not linked to credit.",,,,,,,
Overdraft,Spending more than is available in an account.,,,,,,,
Credit Monitoring,Service that tracks changes in your credit report.,,,,,,,
Payday Loan,"A short-term, high-interest loan.",,,,,,,
Title Loan,A loan secured using a vehicle’s title.,,,,,,,
Refinancing,"Replacing a loan with a new one, often for better terms.",,,,,,,
Loan Forgiveness,When a lender cancels part or all of a loan.,,,,,,,
Credit Builder Loan,A small loan designed to help build credit history.,,,,,,,
Debt-to-Income Ratio,A measure comparing monthly debt payments to income.,,,,,,,
Credit Line,A flexible loan from a financial institution.,,,,,,,
Payment History,"Record of past payments, crucial to credit score.",,,,,,,
Loan Origination Fee,A fee charged when a loan is processed.,,,,,,,
Payday Advance,Short-term loan against a future paycheck.,,,,,,,
Retirement,The period of life when one stops working full-time.,,,,,,,
Retirement Plan,A financial strategy for life after employment.,,,,,,,
Pension,A regular payment made during retirement from prior employment.,,,,,,,
401(k),A U.S. retirement savings plan sponsored by an employer.,,,,,,,
IRA,Individual Retirement Account for retirement savings.,,,,,,,
Roth IRA,A type of IRA with tax-free withdrawals.,,,,,,,
Traditional IRA,IRA with tax-deferred growth and tax-deductible contributions.,,,,,,,
Annuity,A financial product that provides regular income in retirement.,,,,,,,
Retirement Age,The age at which one plans to retire.,,,,,,,
Social Security,Government retirement benefit based on prior earnings.,,,,,,,
Employer Match,Employer contributions to an employee’s retirement account.,,,,,,,
Retirement Fund,A pool of assets set aside for retirement.,,,,,,,
Vesting,Gaining ownership of employer-contributed funds over time.,,,,,,,
Defined Benefit Plan,A retirement plan that guarantees a specific payout.,,,,,,,
Defined Contribution Plan,"A plan where employees contribute, often with employer match.",,,,,,,
Retirement Income,"Money received during retirement (pensions, investments, etc.).",,,,,,,
Nest Egg,Savings set aside for retirement.,,,,,,,
Catch-Up Contribution,Extra contributions allowed for older savers.,,,,,,,
Early Retirement,Retiring before the traditional retirement age.,,,,,,,
Retirement Savings Goal,Target amount saved for retirement needs.,,,,,,,
Required Minimum Distribution (RMD),Minimum annual withdrawal from retirement accounts after a certain age.,,,,,,,
Longevity Risk,The risk of outliving retirement savings.,,,,,,,
Inflation Protection,Strategies to keep retirement savings from losing value.,,,,,,,
Retirement Calculator,Tool to estimate future savings needs.,,,,,,,
Asset Decumulation,Withdrawing from investments in retirement.,,,,,,,
Retirement Portfolio,Investments designated for retirement.,,,,,,,
Healthcare in Retirement,Medical expenses expected during retirement.,,,,,,,
Medicare,U.S. health insurance for those 65 and older.,,,,,,,
Retirement Timeline,A schedule of savings and withdrawal milestones.,,,,,,,
Delayed Retirement Credit,Extra Social Security benefit for delaying retirement.,,,,,,,
Financial Independence,Having enough wealth to live without working.,,,,,,,
FIRE Movement,"“Financial Independence, Retire Early” lifestyle.",,,,,,,
Longevity Planning,Preparing financially for a long retirement.,,,,,,,
Post-Retirement Budget,A spending plan for retirement years.,,,,,,,
Withdrawal Strategy,Plan for drawing down retirement funds.,,,,,,,
Safe Withdrawal Rate,"A conservative rate for withdrawing funds (e.g., 4%).",,,,,,,
Retirement Lifestyle,The way one plans to live after retirement.,,,,,,,
Downsizing,"Reducing expenses, often by moving to a smaller home.",,,,,,,
Bridge Job,Temporary work between full-time employment and retirement.,,,,,,,
Retirement Gap,The difference between expected needs and savings.,,,,,,,
Retirement Readiness,Being financially and mentally prepared to retire.,,,,,,,
Golden Years,A term referring to the retirement stage of life.,,,,,,,
Estate Planning,Arranging management of assets after death.,,,,,,,
Trust,A legal entity to manage assets during and after life.,,,,,,,
Beneficiary,A person who receives benefits or assets.,,,,,,,
Will,A legal document specifying asset distribution.,,,,,,,
Power of Attorney,A legal document allowing someone to act on your behalf.,,,,,,,
Inheritance,Assets received from a deceased person.,,,,,,,
Succession Planning,Preparing for transfer of assets or business.,,,,,,,
Retirement Seminar,An educational event about retirement planning.,,,,,,,
Lifestyle Fund,A retirement investment that adjusts risk over time.,,,,,,,
